Location,Data,Goal,Coordinates,Title,Category,Data category
Atlantic Forest,Remote sensing data,Mapping fire risk,"-23.5505, -46.6333","Analysis of Forest Fire Dynamics, Distribution and Main Drivers in the Atlantic Forest",Forest fire monitoring and prevention,Satellite imagery or LiDAR
Warsaw,Hyperspectral and LiDAR data,Urban tree species mapping,"52.229676, 21.012229",Airborne data and machine learning for urban tree species mapping: Enhancing the legend design to improve the map applicability for city greenery management,Tree species classification,Satellite imagery or LiDAR
Mexico,Remote sensing imagery,Predicting tree height and tree density,"23.6345, -102.5528",Spatial predictions of tree density and tree height across Mexico forests using ensemble learning and forest inventory data,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Single polarimetric TomoSAR images,Forest height reconstruction,Not specified,DL BASED FOREST HEIGHT RECONSTRUCTION USING SINGLE-POL TOMOSAR IMAGES,Canopy and biomass estimation,Satellite imagery or LiDAR
Colombia,Remote sensing data,Monitoring mangrove forest cover,"4.570868, -74.297333",An enhanced approach to mangrove forest analysis in the Colombian Pacific coast using optical and SAR data in Google Earth Engine,Forest cover assessment,Satellite imagery or LiDAR
Brunei,Satellite images,Forest change detection,"4.5353, 114.7277",FCD-AttResU-Net: An improved forest change detection in Sentinel-2 satellite images using attention residual U-Net,Forest cover assessment,Satellite imagery
Not specified,UAV orthophoto,Tree counting,Not specified,Semantic segmentation and quantification of trees in an orchard using UAV orthophoto,Tree species classification,Drone imagery
South Korea,Geostationary satellite remote sensing data,Forest fire detection,"35.90785, 127.76692",Detection and Monitoring of Forest Fires Using Himawari-8 Geostationary Satellite Data in South Korea,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Longquan City,Remote sensing imagery,Evaluating forest structure,"28.31000, 119.10000",Regional Forest Structure Evaluation Model Based on Remote Sensing and Field Survey Data,Canopy and biomass estimation,Satellite imagery or LiDAR
"Hokkaido, Japan",Satellite and multisource datasets,Estimating above-ground biomass,"43.06417, 141.34694",Modeling forest above-ground biomass using freely available satellite and multisource datasets,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV-based multispectral data,Monitoring phytosanitary status,Not specified,Monitoring of Chestnut Trees Using Machine Learning Techniques Applied to UAV-Based Multispectral Data,Tree species classification,Drone imagery
Peru,Landsat satellite imagery,Mapping tree species composition,"-9.1900, -75.0152",Mapping Floristic Patterns of Trees in Peruvian Amazonia Using Remote Sensing and Machine Learning,Tree species classification,Satellite imagery or LiDAR
Iran,Airborne laser scanning and digital aerial photogrammetry,Modeling tree species diversity,"36.75278, 54.36469",Modeling tree species diversity by combining ALS data and digital aerial photogrammetry,Tree species classification,Satellite imagery or LiDAR
Not specified,Remote sensing data,Estimating greenhouse gas emissions from forest fires,Not specified,Forest fire emissions: A contribution to global climate change,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Western Norway,SAR and optical images,Mapping forest structure,"60.472024, 8.468945",High-resolution mapping of forest structure from integrated SAR and optical images using an enhanced U-net method,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Aerial imagery,Forest fire detection,Not specified,Forest Fire Segmentation from Aerial Imagery Data Using an Improved Instance Segmentation Model,Forest fire monitoring and prevention,Drone imagery
Not specified,Hyperspectral imagery,Estimating chlorophyll content,Not specified,Estimation of Chlorophyll Contents in Pear Tree Using Unmanned Aerial Vehicle-Based-Hyperspectral Imagery,Canopy and biomass estimation,Drone imagery
South Africa,Satellite imagery,Mapping fruit tree dynamics,"-22.8645, 30.3478",Mapping fruit tree dynamics using phenological metrics from optimal Sentinel-2 data and Deep Neural Network,Tree species classification,Satellite imagery
Not specified,LiDAR and aerial image data,Tree species classification,Not specified,Classification of Transmission Line Corridor Tree Species Based on Drone Data and Machine Learning,Tree species classification,Drone imagery
Not specified,ZiYuan-3 multispectral and stereo data,Classifying land cover and tree species,Not specified,"Classification of Land Cover, Forest, and Tree Species Classes with ZiYuan-3 Multispectral and Stereo Data",Tree species classification,Satellite imagery or LiDAR
Not specified,Polarimetric synthetic aperture radar (PolSAR) and LiDAR,Estimating forest canopy height,Not specified,MACHINE-LEARNING FUSION OF POLSAR AND LIDAR DATA FOR TROPICAL FOREST CANOPY HEIGHT ESTIMATION,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Remote sensing images,Forest change detection,Not specified,DSNUNet: An Improved Forest Change Detection Network by Combining Sentinel-1 and Sentinel-2 Images,Forest cover assessment,Satellite imagery or LiDAR
North America,FLUXNET-2015 datasets,Predicting carbon dioxide exchange trends,"37.09024, -95.71289",Weekly carbon dioxide exchange trend predictions in deciduous broadleaf forests from site-specific influencing variables,Canopy and biomass estimation,Sensor data
Chongli,Remote sensing satellite data,Forest fire prediction,"40.48510, 115.97318",Time Series Forest Fire Prediction Based on Improved Transformer,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Not specified,Satellite imagery,Assessing the scope of large forest fires,Not specified,Development of an Algorithm for Assessing the Scope of Large Forest Fire Using VIIRS-Based Data and Machine Learning,Forest fire monitoring and prevention,Satellite imagery
Not specified,Aerial RGB imagery,Tree species identification,"50.85045, 4.35121",Individual Tree-Crown Detection and Species Identification in Heterogeneous Forests Using Aerial RGB Imagery and Deep Learning,Tree species classification,Drone imagery
Malaysian Borneo,Aerial RGB imagery,Monitoring tree growth and mortality,"4.46936, 115.13238",Accurate delineation of individual tree crowns in tropical forests from aerial RGB imagery using Mask R-CNN,Tree species classification,Drone imagery
Iran,Satellite imagery,Mapping forest canopy cover,"32.4279, 53.6880",The Influence of Data Density and Integration on Forest Canopy Cover Mapping Using Sentinel-1 and Sentinel-2 Time Series in Mediterranean Oak Forests,Canopy and biomass estimation,Satellite imagery
India,Remote sensing data,Estimating above ground biomass,"20.593684, 78.96288",Improving forest above ground biomass estimates over Indian forests using multi source data sets with machine learning algorithm,Canopy and biomass estimation,Satellite imagery or LiDAR
"Quanzhou County, Guangxi Province, China",Remote sensing images,Improving forest fire prediction accuracy,"24.08475, 118.58955",Forest Fire Prediction Based on Time Series Networks and Remote Sensing Images,Forest fire monitoring and prevention,Satellite imagery or LiDAR
Brazil,Satellite imagery,Mapping forest cover and identifying deforestation,"-3.4653, -62.2159",Amazon forest cover change mapping based on semantic segmentation by U-Nets,Forest cover assessment,Satellite imagery
China,Lidar data,Mapping forest age,"35.86166, 104.1954",High-resolution forest age mapping based on forest height maps derived from GEDI and ICESat-2 space-borne lidar data,Forest cover assessment,Satellite imagery or LiDAR
Central Europe,Airborne laser scanning,Estimating aboveground biomass,"48.0000, 17.0000","Influences of vegetation, model, and data parameters on forest aboveground biomass assessment using an area-based approach",Canopy and biomass estimation,Satellite imagery or LiDAR
Brazil,UAV imagery,Mapping endangered tree species,"-14.2350, -51.9253",SEMANTIC SEGMENTATION OF ENDANGERED TREE SPECIES IN BRAZILIAN SAVANNA USING DEEPLABV3+VARIANTS,Tree species classification,Drone imagery
eThekwini Municipality,Remote sensing data,Mapping suitable areas for forest vegetation,"-29.88304, 30.98534",A machine learning approach to mapping suitable areas for forest vegetation in the eThekwini municipality,Forest cover assessment,Satellite imagery or LiDAR
Not specified,Airborne laser scanning data,Reducing falsely detected treetops in individual tree detection,Not specified,Refinement of Individual Tree Detection Results Obtained from Airborne Laser Scanning Data for a Mixed Natural Forest,Tree species classification,Satellite imagery or LiDAR
North-Western Spain,Airborne laser scanning data,Improving forest yield predictions,"42.50000, -8.00000",Integration of National Forest Inventory and Nationwide Airborne Laser Scanning Data to Improve Forest Yield Predictions in North-Western Spain,Canopy and biomass estimation,Satellite imagery or LiDAR
"Hengqin, Zhuhai, China",Optical and Lidar data,Estimating aboveground biomass of urban trees,"22.10853, 113.55296","Estimating the Aboveground Biomass of Urban Trees by Combining Optical and Lidar Data: A Case Study of Hengqin, Zhuhai, China",Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,UAV data,Monitoring forest health,Not specified,Application of YOLOv5 for Point Label Based Object Detection of Black Pine Trees with Vitality Losses in UAV Data,Habitat degradation and biodiversity monitoring,Drone imagery
Bolivia,Remote sensing data,Forest disturbance detection,"-16.50000, -64.00000",SEASONAL FOREST DISTURBANCE DETECTION USING SENTINEL-1 SAR & SENTINEL-2 OPTICAL TIMESERIES DATA AND TRANSFORMERS,Habitat degradation and biodiversity monitoring,Satellite imagery or LiDAR
Not specified,Terrestrial LiDAR,Extracting lianas from tropical forests,Not specified,TOWARDS EXTRACTION OF LIANAS FROM TERRESTRIAL LIDAR SCANS OF TROPICAL FORESTS,Canopy and biomass estimation,Satellite imagery or LiDAR
"Quebec, Canada",LiDAR,Assessing semantic segmentation performance,"52.9399, -73.5491",INVESTIGATING THE IMPACT OF POINT CLOUD DENSITY ON SEMANTIC SEGMENTATION PERFORMANCE USING VIRTUAL LIDAR IN BOREAL FOREST,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,Aerial images,Pest identification,Not specified,PEST RECOGNITION FOR FOREST AERIAL IMAGES USING IMPROVED GOOGLeNET NETWORK BASED ON TRANSFER LEARNING,Habitat degradation and biodiversity monitoring,Drone imagery
China,Lidar and multi-angle optical imagery,Forest carbon mapping,"35.86166, 104.195 玩大发快三",TECIS: THE FIRST MISSION TOWARDS FOREST CARBON MAPPING BY COMBINATION OF LIDAR AND MULTI-ANGLE OPTICAL OBSERVATIONS,Canopy and biomass estimation,Satellite imagery or LiDAR
Not specified,RGB unmanned aerial vehicle imagery,Estimating yield and fruit load,Not specified,Detection of on-tree chestnut fruits using deep learning and RGB unmanned aerial vehicle imagery for estimation of yield and fruit load,Canopy and biomass estimation,Drone imagery
Amazon forest,UAV images,Individual tree detection and species classification,"-3.4653, -62.2159",Individual tree detection and species classification of Amazonian palms using UAV images and deep learning,Tree species classification,Drone imagery
