Location,Data,Goal,Coordinates,Title,Category
"Quebec, Canada",Multispectral and LiDAR data,Tree species classification,"52.9399, -73.5491",Comparison of Deep and Machine Learning Approaches for Quebec Tree Species Classification Using a Combination of Multispectral and LiDAR Data,Tree species classification
The Philippines,Remote sensing data,Assessing mangrove forest distribution,"14.7033, 120.9562",SPATIOTEMPORAL PATTERN OF MANGROVE FORESTS IN BULACAN USING SATELLITE DATA FUSION METHOD AND MACHINE LEARNING,Forest cover assessment
"Alberta, Canada",Tree-ring and climate data,Detecting forest insect outbreaks,"55.00000, -115.00000",Enhancing forest insect outbreak detection by integrating tree-ring and climate variables,Habitat degradation and biodiversity monitoring
"Duhok and Amedy districts, Kurdistan Region, Iraq",Deep learning models,Estimating forest vegetation cover,"36.24948, 43.09791",Deep learning approaches for estimating forest vegetation cover and exploring influential ecosystem factors,Forest cover assessment
Brazil,Tree attributes data,Predicting crown diameter of open-grown trees,"-15.7801, -47.9292","Machine Learning: Crown Diameter Predictive Modeling for Open-Grown Trees in the Cerrado Biome, Brazil",Canopy and biomass estimation
Not specified,Not specified,Promoting tree growth in forest ecosystems,Not specified,"Mycorrhization in trees: ecology, physiology, emerging technologies and beyond",Tree species classification
Brazil,High-resolution remote sensing images,Mapping urban tree canopy coverage,"-14.235004, -51.92528",Nationwide urban tree canopy mapping and coverage assessment in Brazil from high-resolution remote sensing images using deep learning,Canopy and biomass estimation
"Maine, New Hampshire, Vermont, Massachusetts, Connecticut, Rhode Island",LiDAR and satellite data,Generating regional forest inventories and estimating aboveground biomass,"42.7833, -71.4071","Synthesizing Disparate LiDAR and Satellite Datasets through Deep Learning to Generate Wall-to-Wall Regional Inventories for the Complex, Mixed-Species Forests of the Eastern United States",Canopy and biomass estimation
"Rhineland-Palatinate, Germany",Remote sensing data,Improving positional accuracy of forest inventory plots and individual tree matching,"49.8851, 7.0522",A Machine Learning Method for Co-Registration and Individual Tree Matching of Forest Inventory and Airborne Laser Scanning Data,Canopy and biomass estimation
Southwest China,Multisource remote sensing data,Estimating forest carbon storage,"27.00000, 102.00000",Carbon storage estimation of mountain forests based on deep learning and multisource remote sensing data,Canopy and biomass estimation
Not specified,LiDAR data,Tree species classification,Not specified,Bayesian and Classical Machine Learning Methods: A Comparison for Tree Species Classification with LiDAR Waveform Signatures,Tree species classification
Northeast China,Observational data,Predicting individual tree diameter growth,"45.768, 126.606",Individual Tree Diameter Growth Models of Larch-Spruce-Fir Mixed Forests Based on Machine Learning Algorithms,Tree species classification
Not specified,Airborne LiDAR data,Classifying coniferous and deciduous trees,Not specified,Deep learning for conifer/deciduous classification of airborne LiDAR 3D point clouds representing individual trees,Tree species classification
"Hokkaido, Japan",Remote sensing data,Estimating forest damage,"43.4642, 142.6005",Post-typhoon forest damage estimation using multiple vegetation indices and machine learning models,Forest cover assessment
Not specified,LiDAR data and digital aerial images,Improving urban tree species classification,"1.2921, 103.8460",Improving urban tree species classification by deep-learning based fusion of digital aerial images and LiDAR,Tree species classification
Not specified,Backpack LiDAR data,Tree trunk detection and DBH estimation,Not specified,A Novel Framework for Stratified-Coupled BLS Tree Trunk Detection and DBH Estimation in Forests (BSTDF) Using Deep Learning and Optimization Adaptive Algorithm,Tree species classification
Not specified,UAV laser scanning data,Estimating tree height-growth trajectories,Not specified,Tree height-growth trajectory estimation using uni-temporal UAV laser scanning data and deep learning,Canopy and biomass estimation
Costa Rica,Image-based data,Tree species identification,"9.7489, -83.7534",Using Deep Learning to Identify Costa Rican Native Tree Species From Wood Cut Images,Tree species classification
Bojnord,UAV imagery,Estimating crown area,"37.4691, 57.3352",TREE CROWN DELINEATION ON UAV IMAGERY USING COMBINATION OF MACHINE LEARNING ALGORITHMS WITH MAJORITY VOTING,Canopy and biomass estimation
Romania,Remote sensing and forest inventory data,Modeling forest biomass dynamics,"45.9432, 24.9664",Modelling forest biomass dynamics in relation to climate change in Romania using complex data and machine learning algorithms,Canopy and biomass estimation
Viet Nam,GIS data,Predicting forest fire susceptibility,"22.25413, 104.00042",Spatial pattern analysis and prediction of forest fire using new machine learning approach of Multivariate Adaptive Regression Splines and Differential Flower Pollination optimization: A case study at Lao Cai province (Viet Nam),Forest fire monitoring and prevention
Germany,Satellite imagery,Estimating forest parameters,"51.1657, 10.4515",FOREST5DPLUS: AN OPEN BENCHMARK DATA SET FOR THE ESTIMATION OF FOREST PARAMETERS FROM SENTINEL-1 AND-2 TIME SERIES WITH MACHINE LEARNING METHODS,Canopy and biomass estimation
Mexico,Remote sensing data,Monitoring deforestation,"19.4326, -99.1332",Near Real-Time Change Detection System Using Sentinel-2 and Machine Learning: A Test for Mexican and Colombian Forests,Forest cover assessment
Brazil,Planet NICFI imagery,Mapping forest degradation,"-15.600000, -56.100000",Mapping tropical forest degradation with deep learning and Planet NICFI data,Habitat degradation and biodiversity monitoring
Alpine region,Remote sensing data,Predicting severity of forest damage,"46.81819, 8.22751","Responding to Large-Scale Forest Damage in an Alpine Environment with Remote Sensing, Machine Learning, and Web-GIS",Habitat degradation and biodiversity monitoring
"Gangwon-do, South Korea",Satellite image data,Multi-hazard mapping of droughts and forest fires,"37.57041, 128.20755",Multi-hazard mapping of droughts and forest fires using a multi-layer hazards approach with machine learning algorithms,Forest fire monitoring and prevention
Not specified,"LiDAR, Landsat 8 data",Estimating forest aboveground biomass,Not specified,Deep Learning Based Retrieval of Forest Aboveground Biomass from Combined LiDAR and Landsat 8 Data,Canopy and biomass estimation
South Korea and China,Remote sensing data,Tree species classification,"39.13333, 127.80000",Tree Species Classification Using Hyperion and Sentinel-2 Data with Machine Learning in South Korea and China,Tree species classification
Not specified,UAV-based multi-sensor data,Tree species classification,Not specified,Urban tree species classification using UAV-based multi-sensor data fusion and machine learning,Tree species classification
Not specified,High-resolution aerial imagery,Estimating forest stand density,Not specified,Tree-CRowNN: A Network for Estimating Forest Stand Density from VHR Aerial Imagery,Canopy and biomass estimation
"Lower Silesian Voivodeship, Poland",Historical fire data and various predictors,Modeling forest fire occurrence,"51.19706, 16.96917",Modeling and Mapping of Forest Fire Occurrence in the Lower Silesian Voivodeship of Poland Based on Machine Learning Methods,Forest fire monitoring and prevention
"Hangzhou Area, China",Multisource remote sensing data,Estimating forest aboveground biomass,"30.2741, 120.1551",Forest Aboveground Biomass Estimation Using Multisource Remote Sensing Data and Deep Learning Algorithms: A Case Study over Hangzhou Area in China,Canopy and biomass estimation
"University of Tokyo Hokkaido Forest, Japan",UAV imagery,Mapping canopy cover,"43.05559, 142.36617",Integration of Unmanned Aerial Vehicle Imagery and Machine Learning Technology to Map the Distribution of Conifer and Broadleaf Canopy Cover in Uneven-Aged Mixed Forests,Canopy and biomass estimation
Southern Brazil,LiDAR and satellite imagery,Land cover classification,"-22.90833, -43.19639",A comparison of machine and deep-learning algorithms applied to multisource data for a subtropical forest area classification,Forest cover assessment
"Lazio, Italy",Hyperspectral data,Tree Cover classification,"41.902783, 12.496366",Comparative performance of machine learning algorithms for Forest Cover classification using ASI - PRISMA hyperspectral data,Forest cover assessment
"Guangdong Province, China",Remote sensing data,Estimating aboveground biomass,"23.34188, 113.60245",Machine learning and geostatistical approaches for estimating aboveground biomass in Chinese subtropical forests,Canopy and biomass estimation
"Ena City, Japan",Remote sensing data,Monitoring forest development and conservation,"35.36645, 137.48606","FOREST-RELATED SDG ISSUES MONITORING FOR DATA-SCARCE REGIONS EMPLOYING MACHINE LEARNING AND REMOTE SENSING - A CASE STUDY FOR ENA CITY, JAPAN",Habitat degradation and biodiversity monitoring
